Id,Ailment,Body Part,Recipe Name,Ingredients,Amount,Units,Description
1,Pain,Mouth,Pain in the mouth,Clove Oil,10,drops,Apply the Oils to the cotton ball and apply to affected area.  Re-apply as needed
,,,,Tea Tree Oil,5,drops,
,,,,Cotton Ball,1,,
2,Pain,Mouth,Tooth Ache Relief,Peppermint Oil,10,drops,Apply the oils to the cotton ball and apply to affected tooth.  Re-apply as needed
,,,,Clove Oil,5,drops,
3,Pain,Throat,Sore throat(A),Eucalyptus Oil,3-Jan,drops,Apply 1-3 drops on your throat and chest as needed.
,,,,,,,
4,Bloated Stomach,Stomach,Bloated belly,Carrier Oil,6,drops,"In a small container add the Oils along with the carrier oil of your choice. Lay on your left side and rub it  into to your abdomen for 5-10 minutes. A few suggestion for the many carrier oils available: Olive, Avocado, Almond, Jojoba, Apricot Kernel and Coconut oil"
,,,,Lemon Oil,2,drops,
,,,,Peppermint Oil,2,drops,
,,,,Rosemary Oil,2,drops,
,,,,,,,
5,Sore Throat,Throat,Sore throat(B),Lemon Oil,2-Jan,drops,Add 1-2 drops to your favorite cup of tea or hot water.  You may also inhale the mixture.
,,,,Water,8,oz,
,,,,Tea,8,oz,
,,,,,,,
6,Mild Stomach Ache,Stomach,Mild stomach  ache,Peppermint Oil,3-Jan,drops,Message the drop into your stomach area.  Also inhaling the oil will help.
,,,,,,,
7,Gas,Stomach,Gas(A),Dill Oil,1,drop,Mix the oil and the honey and take by mouth. As needed
,,,,Honey,1,tsp,
,,,,,,,
8,Gas,Stomach,Gas(B),Oregano Leaf,1,tsp,Put ingredients in a 8oz cup of boiling water and let sit covered for 6 minutes.  Strain and enjoy.
,,,,Lemon Verbena leaf,1,tsp,
,,,,Water,8,oz,
9,Sour Stomach,Stomach,Upset Stomach,Ginger Root,4-Mar,tsp,Simmer 3/4 teaspoon  of chopped fresh ginger in 1 cup of hot water for five minutes in a closed teapot or covered container. Strain and serve.
,,,,Water,8,oz,
,,,,,,,
10,Chest Cold Congestion,Chest,Cough and Congestion(A),Garlic,2-Jan,gloves,Finely grate garlic add to water . Add honey if needed
,,,,Water,8-Apr,oz,
,,,,,,,
11,Congestion with Cough,Chest,Cough and Congestion(B),Cinnamon,1,tbsp,Boil water mixed ingredients to make a hot spicy tea.  Sweeten if needed.
,,,,Honey,1,tsp,
,,,,Water,8-Apr,oz,
,,,,,,,
12,Mild Fever,Head,Mild fever,Peppermint leaves,1,tbsp,Boil water add dried leaves and cover for 3-5 minutes.. Strain and enjoy. You may use a tea bag or 6-7 fresh leave that you rip up or take a spoon and press the leaves to release the oils
,,,,Water,8,oz,
,,,,,,,
13,Dry Lips,lips,Chapped Lips,Coconut Oil,4-Jan,cup,Mixes together in a container with a lid. Apply as needed this will sooth and heal.
,,,,Camphor Oil,6,drops,
,,,,,,,
14,Foot Odor,Feet,Stink Feet,Baking Soda,1,tbsp,Mix mixture together and apply to feet
,,,,Tea Tree Oil,10,drops,
,,,,Lemon Oil,3,drops,
,,,,,,,
15,Bad Breath,Mouth,Bad breath,Water,2-Jan,,"Mix, swish around and rinse"
,,,,Spearmint Oil,6,,
,,,,,,,
16,Infected Skin Rash,Back,Infected Skin,Coconut Oil,4-Jan,cup,Rub onto area as needed.   Store in dark container and or cool dark dry place.
,,,,Tea tree Oil,20,drops,
,,,,,,,
,,,Mild Rash,Argon Oil,2-Jan,cup,Mix together and apply.  Store in dark container and or cool dark dry place.
17,General Mild Skin Rash,Legs,,Rosemary Oil,20,drops,
,,,,Tea tree Oil,5,drops,
,,,,,,,
18,Chest Congestion,Chest,Chest Congestion,Carrier Oil,4,tsp,"Mix the oils together with the carrier oil and massage the blend into the chest, morning and evening .A few suggestion for the many carrier oils available: Olive, Avocado, Almond, Jojoba, Apricot Kernel and Coconut oil"
,,,,Myrrh Oil,4,drops,
,,,,Cedarwood Oil,2,drops,
,,,,Eucalyptus Oil,4,drops,
,,,,,,,
19,Body Aches,Back,Aching Body,Carrier Oil,4,tsp,"Mix carrier oil and  other oils together in container and message into area as needed A few suggestion for the many carrier oils available: Olive, Avocado, Almond, Jojoba, Apricot Kernel and Coconut oil."
,,,,Eucalyptus Oil,4,drops,
,,,,Ginger Oil,2,drops,
,,,,Rosemary Oil,4,drops,
,,,,,,,
20,Knee pain,Knee,Knee inflammation(A),Peppermint Oil,2,drops,"Mix carrier oil and  other oils together in container and message into knee as needed A few suggestion for the many carrier oils available: Olive, Avocado, Almond, Jojoba, Apricot Kernel and Coconut oil."
,,,,Lemon Oil,2,drops,
,,,,Eucalyptus Oil,5,drops,
,,,,Rosemary Oil,5,drops,
,,,,Lavender Oil,6,drops,
,,,,Carrier Oil,1,oz,
,,,,,,,
21,Knee Pain,Knee,Knee inflammation(B),Lavender Oil,5,drops,Add oils to relaxing bath and soak. You can also add this to 4tsp of an carrier oil
,,,,Cypress Oil,5,drops,
,,,,Ginger root Oil,2,drops,
,,,,,,,
22,Joint Pain General,Wrist,Arthritic Pain,Helichrysum Oil,30,drops,Blends the following oils with your choice of carrier oil. Apply to lower body  Keep mixture in a dark bottle and out of the light. If this is to strong you can cut the Peppermint and Sweet birdh oils down to half.
,,,,Sweet Birch Oil,30,drops,
,,,,Peppermint Oil,30,drops,
,,,,Ginger Root Oil,10,drops,
,,,,Carrier Oil,3.4,oz,
,,,,,,,
23,Foot Pain,feet,Sore feet,Eucalyptus Oil,6,drops,Add the oils to a small foot tub of warm water and soak for 15-30 minuets and repeat twice a day.
,,,,Rosemary Oil,6,drops,
,,,,Peppermint Oil,3,drops,
,,,,,,,
24,Foot Fungus,feet,Fungus Feet,Tea Tree Oil,12,drops,"Mix carrier oil and other oils together in dark glass bottle and message into a feet as twice a day. A few suggestion for the many carrier oils available: Olive, Avocado, Almond, Jojoba, Apricot Kernel and Coconut oil."
,,,,Lavender Oil,8,drops,
,,,,Carrier Oil,1,oz,
,,,,,,,
25,Foot Fungus,feet,Fungal foot spray,Eucalyptus Oil,1,tsp,"Combine mixture, shake and spray on feet and inside of shoes to keep area infection free."
,,,,Water,2,cups,
,,,,Spray bottle,1,each,
,,,,,,,
26,Itchy Scalp,Head,Head dandruff (itchy scalp),Chamomile Oil,6,drops,"Mix carrier oil and other oils together in container and message into a entire scalp  A few suggestion for the many carrier oils available: Olive, Avocado, Almond, Jojoba, Apricot Kernel and Coconut oil."
,,,,Lavender Oil,6,drops,
,,,,Peppermint Oil,6,drops,
,,,,Carrier Oil,2,tbsp,
,,,,,,,
27,Dandruff,Head,Head dandruff,Your shampoo,8,oz,Add the oil to you shampoo and use as normal
,,,,Chamomile Oil,12,drops,
,,,,,,,
28,Body Fever,Head,Fever,Eucalyptus Oil,15,drops,"Fill a spray bottle with 1/2 cup of a carrier oil, and add 15 drops of eucalyptus oil. Spritz it over feverish skin.   A few suggestion for the many carrier oils available: Olive, Avocado, Almond, Jojoba, Apricot Kernel and Coconut oil."
,,,,Carrier Oil,2-Jan,cup,
,,,,,,,
29,Chest cold,Chest,Cold Liniment,Eucalyptus Oil,10,2 1/2,"Mix carrier oil and other oils together in dark glass bottle shake well.  Apply 1 tsp and massage into skin.  Cover with a soft cloth to help with penetration.  Repeat treatment up to 3 times a day until symptoms subside
"
,,,,Pine Oil,10,drops,
,,,,Carrier Oil,2 1/2,oz,
,,,,,,,
30,Cough,Chest,Chest Cough,Eucalyptus Oil,4,drops,"Massage the blend into the chest, morning and evening"
,,,,"Myrrh Oil
",2,drops,
,,,,Cedarwood Oil,4,drops,
,,,,Carrier Oil,4,tsp,
,,,,,,,
31,General Soreness,Back,Aching body,"Eucalyptus Oil


",4,drops," You may use this combination in a hot bath, with a hot or cold compress, or with a carrier oil as a body massage blend .  A few suggestion for the many carrier oils available: Olive, Avocado, Almond, Jojoba, Apricot Kernel and Coconut oil."
,,,,Ginger Oil,2,drops,
,,,,Rosemary Oil,4,drops,
,,,,Carrier Oil,4,tsp,
,,,,,,,
32,Water Blisters,hands,Water blister Hand,Lavender Oil,2,drops,Apply drop 1-2 drop  a few times a day
,,,,,,,
33,Water Blisters,feet,Water blister Foot,Lavender Oil,2,drops,Apply drop 1-2 drop  a few times a day
,,,,,,,
34,Heat Blisters,hands,Burn Blisters,Lavender Oil,1,drops,Apply 1 drop off the Lavender OR Tea Tree oil and 1 drop of Chamomile 2-3 times a day
,,,,Tea Tree Oil,1,drops,
,,,,Chamomile Oil,1,drops,
,,,,,,,
35,Back Pain,Back,Back pain,Lavender Oil,15,drops,Mix carrier oil and other oils together in dark glass bottle shake well.  Apply to area and deeply message in.
,,,,Marjoram Oil,8,drops,
,,,,Peppermint Oil,8,drops,
,,,,Rosemary Oil,15,drops,
,,,,,,,
,,,,Carrier Oil,2-Jan,oz,
,,,,,,,
36,Stress,Head,Stress,Lavender Oil,3-Feb,drops,Rub 2-3 drops in your palm and take several deep breaths.
,,,,,,,
37,Bad mood,Head,Mood booster,Peppermint Oil,3-Feb,,Dab a few drops on your temples and inhale
,,,,,,,
